lvef,crea,gender,Procedure,Mortality,Morbidity_Mortality,DSW_Infection,Long_LOS,Perm_Stroke,Prolong_Vent,Renal_failure,Reoperation,Short_LOS
10,0.8,Male,AV Replacement + CAB,0.0241,0.16625,0.00182,0.08073,0.01212,0.10046,0.02971,0.09173,0.33968
10,0.8,Female,AV Replacement + CAB,0.03353,0.19755,0.00213,0.10829,0.01438,0.1487,0.03649,0.0861,0.2311
10,0.915789473684211,Male,AV Replacement + CAB,0.02535,0.17464,0.00182,0.08436,0.01246,0.10453,0.03255,0.09413,0.32741
10,0.915789473684211,Female,AV Replacement + CAB,0.03525,0.20712,0.00213,0.11302,0.01477,0.15438,0.03996,0.08837,0.22144
10,1.03157894736842,Male,AV Replacement + CAB,0.02666,0.18336,0.00182,0.08815,0.0128,0.10873,0.03567,0.09659,0.31537
10,1.03157894736842,Female,AV Replacement + CAB,0.03706,0.21704,0.00213,0.11792,0.01517,0.16024,0.04375,0.09069,0.21207
10,1.14736842105263,Male,AV Replacement + CAB,0.02804,0.19242,0.00182,0.09209,0.01314,0.11309,0.03906,0.0991,0.30358
10,1.14736842105263,Female,AV Replacement + CAB,0.03895,0.2273,0.00213,0.12301,0.01559,0.16627,0.04788,0.09307,0.203
10,1.26315789473684,Male,AV Replacement + CAB,0.02949,0.20181,0.00182,0.09618,0.0135,0.1176,0.04277,0.10168,0.29204
10,1.26315789473684,Female,AV Replacement + CAB,0.04094,0.23789,0.00213,0.12828,0.01601,0.17248,0.05237,0.09551,0.19422
10,1.37894736842105,Male,AV Replacement + CAB,0.03101,0.21153,0.00182,0.10043,0.01387,0.12226,0.04681,0.10431,0.28077
10,1.37894736842105,Female,AV Replacement + CAB,0.04303,0.24881,0.00213,0.13375,0.01645,0.17888,0.05726,0.098,0.18573
10,1.49473684210526,Male,AV Replacement + CAB,0.03261,0.2216,0.00182,0.10486,0.01425,0.12708,0.05121,0.107,0.26976
10,1.49473684210526,Female,AV Replacement + CAB,0.04522,0.26006,0.00213,0.13941,0.01689,0.18546,0.06258,0.10054,0.17753
10,1.61052631578947,Male,AV Replacement + CAB,0.03429,0.23201,0.00182,0.10945,0.01464,0.13206,0.056,0.10976,0.25903
10,1.61052631578947,Female,AV Replacement + CAB,0.04751,0.27165,0.00213,0.14527,0.01735,0.19222,0.06836,0.10315,0.16961
10,1.72631578947368,Male,AV Replacement + CAB,0.03605,0.24275,0.00182,0.11422,0.01503,0.1372,0.06121,0.11258,0.24858
10,1.72631578947368,Female,AV Replacement + CAB,0.04991,0.28355,0.00213,0.15134,0.01782,0.19917,0.07463,0.10582,0.16198
10,1.84210526315789,Male,AV Replacement + CAB,0.03789,0.25383,0.00182,0.11917,0.01544,0.14252,0.06687,0.11546,0.23842
10,1.84210526315789,Female,AV Replacement + CAB,0.05243,0.29576,0.00213,0.15761,0.01831,0.20631,0.08143,0.10855,0.15463
10,1.95789473684211,Male,AV Replacement + CAB,0.03983,0.26523,0.00182,0.1243,0.01586,0.148,0.07301,0.1184,0.22854
10,1.95789473684211,Female,AV Replacement + CAB,0.05507,0.30827,0.00213,0.16409,0.0188,0.21364,0.08878,0.11134,0.14755
10,2.07368421052632,Male,AV Replacement + CAB,0.04186,0.27696,0.00182,0.12963,0.0163,0.15366,0.07967,0.12141,0.21896
10,2.07368421052632,Female,AV Replacement + CAB,0.05783,0.32107,0.00213,0.17078,0.01931,0.22116,0.09673,0.11419,0.14075
10,2.18947368421053,Male,AV Replacement + CAB,0.04399,0.289,0.00182,0.13514,0.01674,0.15949,0.08689,0.12448,0.20967
10,2.18947368421053,Female,AV Replacement + CAB,0.06072,0.33414,0.00213,0.17769,0.01984,0.22886,0.10531,0.11711,0.1342
10,2.30526315789474,Male,AV Replacement + CAB,0.04623,0.30135,0.00182,0.14085,0.01719,0.1655,0.09468,0.12762,0.20067
10,2.30526315789474,Female,AV Replacement + CAB,0.06375,0.34748,0.00213,0.18482,0.02037,0.23675,0.11455,0.12009,0.12792
10,2.42105263157895,Male,AV Replacement + CAB,0.04857,0.31399,0.00182,0.14677,0.01766,0.17169,0.1031,0.13083,0.19196
10,2.42105263157895,Female,AV Replacement + CAB,0.06691,0.36105,0.00213,0.19216,0.02092,0.24482,0.12449,0.12313,0.12189
10,2.53684210526316,Male,AV Replacement + CAB,0.05102,0.3269,0.00182,0.15288,0.01814,0.17806,0.11216,0.1341,0.18355
10,2.53684210526316,Female,AV Replacement + CAB,0.07022,0.37484,0.00213,0.19972,0.02149,0.25307,0.13515,0.12624,0.11611
10,2.65263157894737,Male,AV Replacement + CAB,0.05359,0.3401,0.00182,0.1592,0.01863,0.18462,0.12193,0.13745,0.17543
10,2.65263157894737,Female,AV Replacement + CAB,0.07369,0.38885,0.00213,0.20751,0.02207,0.26152,0.14658,0.12942,0.11056
10,2.76842105263158,Male,AV Replacement + CAB,0.05628,0.35354,0.00182,0.16574,0.01914,0.19136,0.13241,0.14086,0.16759
10,2.76842105263158,Female,AV Replacement + CAB,0.07731,0.40305,0.00213,0.21552,0.02267,0.27014,0.15881,0.13266,0.10525
10,2.88421052631579,Male,AV Replacement + CAB,0.0591,0.36722,0.00182,0.17248,0.01965,0.19829,0.14365,0.14435,0.16003
10,2.88421052631579,Female,AV Replacement + CAB,0.08109,0.41741,0.00213,0.22375,0.02328,0.27893,0.17184,0.13598,0.10017
10,3,Male,AV Replacement + CAB,0.06205,0.38112,0.00182,0.17945,0.02019,0.20541,0.15567,0.14791,0.15275
10,3,Female,AV Replacement + CAB,0.08504,0.43191,0.00213,0.2322,0.02391,0.2879,0.18571,0.13936,0.0953
12.6315789473684,0.8,Male,AV Replacement + CAB,0.02349,0.16242,0.00182,0.07881,0.01212,0.09785,0.0293,0.0902,0.34823
12.6315789473684,0.8,Female,AV Replacement + CAB,0.0327,0.19316,0.00213,0.10579,0.01438,0.14503,0.036,0.08465,0.23791
12.6315789473684,0.915789473684211,Male,AV Replacement + CAB,0.02471,0.17065,0.00182,0.08236,0.01246,0.10182,0.03211,0.09256,0.33581
12.6315789473684,0.915789473684211,Female,AV Replacement + CAB,0.03438,0.20258,0.00213,0.11042,0.01477,0.1506,0.03942,0.08689,0.22804
12.6315789473684,1.03157894736842,Male,AV Replacement + CAB,0.026,0.17922,0.00182,0.08607,0.0128,0.10593,0.03519,0.09499,0.32361
12.6315789473684,1.03157894736842,Female,AV Replacement + CAB,0.03614,0.21233,0.00213,0.11522,0.01517,0.15633,0.04316,0.08918,0.21848
12.6315789473684,1.14736842105263,Male,AV Replacement + CAB,0.02734,0.18812,0.00182,0.08992,0.01314,0.11019,0.03854,0.09746,0.31165
12.6315789473684,1.14736842105263,Female,AV Replacement + CAB,0.03799,0.22243,0.00213,0.12021,0.01559,0.16225,0.04724,0.09152,0.2092
12.6315789473684,1.26315789473684,Male,AV Replacement + CAB,0.02876,0.19735,0.00182,0.09393,0.0135,0.11459,0.0422,0.1,0.29994
12.6315789473684,1.26315789473684,Female,AV Replacement + CAB,0.03993,0.23287,0.00213,0.12538,0.01601,0.16834,0.05168,0.09392,0.20022
12.6315789473684,1.37894736842105,Male,AV Replacement + CAB,0.03024,0.20691,0.00182,0.09809,0.01387,0.11915,0.04618,0.10259,0.28849
12.6315789473684,1.37894736842105,Female,AV Replacement + CAB,0.04197,0.24363,0.00213,0.13074,0.01645,0.17461,0.05651,0.09637,0.19153
12.6315789473684,1.49473684210526,Male,AV Replacement + CAB,0.0318,0.21682,0.00182,0.10242,0.01425,0.12386,0.05053,0.10525,0.27729
12.6315789473684,1.49473684210526,Female,AV Replacement + CAB,0.0441,0.25473,0.00213,0.1363,0.01689,0.18107,0.06176,0.09888,0.18313
12.6315789473684,1.61052631578947,Male,AV Replacement + CAB,0.03343,0.22707,0.00182,0.10692,0.01464,0.12874,0.05526,0.10796,0.26637
12.6315789473684,1.61052631578947,Female,AV Replacement + CAB,0.04634,0.26616,0.00213,0.14205,0.01735,0.18772,0.06747,0.10145,0.17502
12.6315789473684,1.72631578947368,Male,AV Replacement + CAB,0.03515,0.23766,0.00182,0.1116,0.01503,0.13377,0.06041,0.11074,0.25573
12.6315789473684,1.72631578947368,Female,AV Replacement + CAB,0.04869,0.27791,0.00213,0.148,0.01782,0.19454,0.07367,0.10408,0.16719
12.6315789473684,1.84210526315789,Male,AV Replacement + CAB,0.03695,0.24858,0.00182,0.11645,0.01544,0.13897,0.066,0.11358,0.24537
12.6315789473684,1.84210526315789,Female,AV Replacement + CAB,0.05115,0.28998,0.00213,0.15416,0.01831,0.20156,0.08038,0.10677,0.15965
12.6315789473684,1.95789473684211,Male,AV Replacement + CAB,0.03885,0.25983,0.00182,0.12148,0.01586,0.14435,0.07207,0.11648,0.23529
